"פריט","שם פריט","מחיר מכירה","סה''כ","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"193654327361","M NK DF PARK VI","99.00","-1","","","","","-1"
"193654327378","M NK DF PARK VI","89.00","-3","","","","","-3"
"193654327392","חולצת נייק XL גברים","89.00","-3","","","","","-3"
"193654327408","M NK DF PARK VI","99.00","-1","","","","","-1"
"193654327514","M NK DF PARK VI","99.00","-2","","","","","-2"
"193654327521","M NK DF PARK VI","99.00","-1","","","","","-1"
"193654327538","M NK DF PARK VI","89.00","-2","","","","","-2"
"193654327545","M NK DF PARK VI","89.00","-2","","","","","-2"
"193654327552","M NK DF PARK VI","99.00","-2","","","","","-2"
"193654331948","W NK DF PARK VI","99.00","-1","","","","","-1"
"193654331955","W NK DF PARK VI","99.00","-1","","","","","-1"
"193654332051","W NK DF PARK VI","99.00","-1","","","","","-1"
"193654340766","M NK DF PARK II","99.00","-2","","","","","-2"
"193654340773","M NK DF PARK II","99.00","-4","","","","","-4"
"193654340780","M NK DF PARK II","99.00","-6","","","","","-6"
"193654340797","M NK DF PARK II","99.00","-3","","","","","-3"
"193654341015","M NK DF PARK II","99.00","-2","","","","","-2"
"193654341022","M NK DF PARK II","99.00","-2","","","","","-2"
"193654341039","M NK DF PARK II","99.00","-2","","","","","-2"
"193654341046","M NK DF PARK II","99.00","-2","","","","","-2"
"193654341053","M NK DF PARK II","99.00","-1","","","","","-1"
"194500857056","NK ACDMY TEAM M","159.00","-4","","","","","-4"
"194502755213","W NP 365 SHORT","159.00","-1","","","","","-1"
"194958681234","NK ELMNTL BKPK","149.00","-2","","","","","-2"
"195244773947","NK BRSLA SHOE - 9.5","79.00","-2","","","","","-2"
"195252744090","UA Undeniable 5","199.90","-2","","","","","-2"
"195252745066","UA Undeniable 5","249.90","-2","","","","","-2"
"195253510571","UA Vanish Woven 6in","153.00","-2","","","","","-2"
"195253510595","UA Vanish Woven 6in","153.00","-3","","","","","-3"
"195253510601","UA Vanish Woven 6in","153.00","-1","","","","","-1"
"195253510618","UA Vanish Woven 6in","153.00","-2","","","","","-2"
"195253814167","UA Tech 2.0 SS Tee","139.90","-2","","","","","-2"
"195253814204","UA Tech 2.0 SS Tee","139.90","-2","","","","","-2"
"195253814228","UA Tech 2.0 SS Tee","139.90","-1","","","","","-1"
"195253814242","UA Tech 2.0 SS Tee","139.90","-2","","","","","-2"
"195253814280","UA Tech 2.0 SS Tee","139.90","-1","","","","","-1"
